#Study : AFDES
#Date : 20160317 11:57:14
#Version : 5.7.2389.1
#TestRunDate : 20160317 11:53:13.477 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	Yaw Degrees	Pitch Degrees	Roll Degrees	LEFT_EYE_LATERAL X	LEFT_EYE_LATERAL Y	LEFT_EYE_PUPIL X	LEFT_EYE_PUPIL Y	LEFT_EYE_MEDIAL X	LEFT_EYE_MEDIAL Y	RIGHT_EYE_MEDIAL X	RIGHT_EYE_MEDIAL Y	RIGHT_EYE_PUPIL X	RIGHT_EYE_PUPIL Y	RIGHT_EYE_LATERAL X	RIGHT_EYE_LATERAL Y	NOSE_TIP X	NOSE_TIP Y	7 X	7 Y	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
AFDES	20160317	Medit F10disgustface Forward-3	0	MALE	test	TestImage	Emotient FACET	80	80			0	80	1	205	198	302	302	-2.921497	0	-2.819615	0	-0.6378964	0	-0.7511936	0	-0.6046565	0	-2.991508	0	-2.394921	0	-2.879315	0	-2.646437	0	2.31655	0	-2.921497	0	-0.6046565	0	-0.1415799	0.4469582	-1.375594	0.1092179	-1.815129	-0.8868989	-5.305296	-1.054613	-1.322897	-0.7099658	-1.948051	-1.561096	-1.535913	-1.086111	-1.087632	-1.050426	-1.771158	-1.874953	-3.531012	-3.214597	-0.3668137	2.361579	-1.034939	275.0428	280.4111	0	0	331.5952	287.1227	402.2789	285.9607	0	0	454.6292	277.6812	365.3405	363.0232	0	0						
AFDES	20160317	Medit F10disgustface Forward-3	0	MALE	test	TestImage	Emotient FACET	120	120			1	120	1	206	198	301	301	-3.206258	0	-2.873005	0	-0.6694362	0	-0.8477797	0	-0.7261069	0	-2.93542	0	-2.463247	0	-2.932827	0	-2.737966	0	2.391338	0	-3.206258	0	-0.7261069	0	-0.1392803	0.4893449	-1.402748	0.1172328	-1.82327	-0.9063559	-5.297024	-1.01472	-1.416958	-0.7837051	-1.97895	-1.63335	-1.58174	-1.133235	-1.20648	-1.125217	-1.772148	-1.917153	-3.692862	-3.340808	-0.4721214	2.520408	-1.005106	275.6741	280.9413	0	0	332.4469	286.2931	402.2713	285.9574	0	0	454.5355	277.5946	365.8804	363.1641	0	0						
AFDES	20160317	Medit F10disgustface Forward-3	0	MALE	test	TestImage	Emotient FACET	160	160			2	160	1	205	197	302	302	-3.001881	0	-2.778168	0	-0.6938348	0	-0.6815104	0	-0.5996624	0	-3.075369	0	-2.355586	0	-2.840822	0	-2.606848	0	2.301332	0	-3.001881	0	-0.5996624	0	-0.1556063	0.423193	-1.384269	0.1469645	-1.821752	-0.8670214	-5.393163	-1.10914	-1.327377	-0.7036538	-1.944533	-1.559482	-1.560459	-1.033731	-1.001081	-1.057018	-1.800969	-1.906725	-3.573086	-3.241189	-0.560805	2.801093	-0.9232182	275.2324	280.1688	0	0	330.9966	286.1111	402.514	285.9029	0	0	454.6737	277.189	364.513	362.4084	0	0						
AFDES	20160317	Medit F10disgustface Forward-3	0	MALE	test	TestImage	Emotient FACET	200	200			3	200	1	204	197	305	305	-2.684171	0	-2.728141	0	-0.7068353	0	-0.7690542	0	-0.443036	0	-3.064525	0	-2.168346	0	-2.771635	0	-2.446031	0	2.259528	0	-2.684171	0	-0.443036	0	-0.181083	0.3609781	-1.364309	0.06121043	-1.811946	-0.8934292	-5.390549	-1.052006	-1.25392	-0.584576	-1.884754	-1.470622	-1.461968	-1.194009	-0.8907806	-0.953829	-1.842157	-1.863854	-3.259671	-3.289582	-0.2890386	2.40291	-1.058372	274.3293	280.5337	0	0	330.8008	285.6746	402.3535	286.0533	0	0	455.6271	277.7925	365.8973	363.1516	0	0						
AFDES	20160317	Medit F10disgustface Forward-3	0	MALE	test	TestImage	Emotient FACET	240	240			4	240	1	205	197	304	304	-2.4966	0	-2.67287	0	-0.6922307	0	-0.7988515	0	-0.3493077	0	-2.885955	0	-2.187328	0	-2.862749	0	-2.447392	0	2.182599	0	-2.4966	0	-0.3493077	0	-0.1184145	0.4462376	-1.352344	0.1005577	-1.786399	-0.8304999	-5.273499	-0.9510263	-1.197708	-0.544155	-1.834247	-1.397881	-1.384847	-1.223882	-0.8898647	-0.9305547	-1.832958	-1.826106	-3.130296	-3.277575	-0.348978	2.581448	-1.115079	275.0726	280.3353	0	0	331.7647	286.1968	401.6587	286.0554	0	0	457.5042	278.6083	366.4075	362.3508	0	0						
AFDES	20160317	Medit F10disgustface Forward-3	0	MALE	test	TestImage	Emotient FACET	280	280			5	280	1	204	196	304	304	-2.728007	0	-2.726188	0	-0.6307873	0	-0.6155025	0	-0.4885217	0	-2.989973	0	-2.211847	0	-2.894014	0	-2.587568	0	2.224453	0	-2.728007	0	-0.4885217	0	-0.1615362	0.3964535	-1.34104	0.1706843	-1.823675	-0.8617225	-5.376544	-1.059457	-1.25484	-0.6436148	-1.884036	-1.483518	-1.504477	-1.081324	-0.9196734	-1.044178	-1.783551	-1.887576	-3.376471	-3.229179	-0.6176417	2.680593	-0.7893416	275.0771	280.0401	0	0	330.7836	285.1955	402.5446	286.0053	0	0	456.0646	277.7281	364.6586	362.7145	0	0						
AFDES	20160317	Medit F10disgustface Forward-3	0	MALE	test	TestImage	Emotient FACET	320	320			6	320	1	204	197	304	304	-2.658071	0	-2.703223	0	-0.6039752	0	-0.7090139	0	-0.4733301	0	-2.862231	0	-2.230147	0	-2.903153	0	-2.575323	0	2.208917	0	-2.658071	0	-0.4733301	0	-0.1361726	0.4371377	-1.341919	0.1594486	-1.809936	-0.8519974	-5.26818	-0.9650803	-1.249052	-0.6548947	-1.864219	-1.474942	-1.488623	-1.145858	-0.9695187	-1.028893	-1.782262	-1.858163	-3.316869	-3.279355	-0.3432014	2.729802	-1.006487	275.1845	280.2087	0	0	330.8304	285.7416	401.474	286.0424	0	0	456.6839	278.1878	366.1607	362.8301	0	0						
AFDES	20160317	Medit F10disgustface Forward-3	0	MALE	test	TestImage	Emotient FACET	360	360			7	360	1	205	197	302	302	-2.811101	0	-2.783548	0	-0.5738534	0	-0.5891826	0	-0.5886577	0	-2.897408	0	-2.347378	0	-2.912452	0	-2.677957	0	2.262058	0	-2.811101	0	-0.5886577	0	-0.1146348	0.4677105	-1.336891	0.1851373	-1.769449	-0.8518621	-5.268921	-0.9657539	-1.25803	-0.7153891	-1.921448	-1.578439	-1.602592	-1.026732	-1.049752	-1.087651	-1.728083	-1.897363	-3.528548	-3.214577	-0.4366412	2.640139	-0.9070861	275.2961	280.2976	0	0	330.5971	285.8538	402.2444	286.0158	0	0	454.4534	277.6541	365.4593	363.1279	0	0						
AFDES	20160317	Medit F10disgustface Forward-3	0	MALE	test	TestImage	Emotient FACET	400	400			8	400	1	205	197	302	302	-3.028448	0	-2.7527	0	-0.6200558	0	-0.5890041	0	-0.7000332	0	-2.855221	0	-2.394833	0	-2.976804	0	-2.756721	0	2.277051	0	-3.028448	0	-0.5890041	0	-0.1228904	0.478378	-1.361554	0.2227357	-1.805001	-0.842701	-5.269219	-0.9653715	-1.349041	-0.7959511	-1.904656	-1.586665	-1.637859	-0.9800593	-1.094341	-1.159439	-1.729915	-1.938752	-3.650446	-3.261779	-0.5331024	2.615851	-0.9167106	275.9366	280.4382	0	0	330.5844	285.5119	402.2159	286.1704	0	0	455.0039	277.9633	365.1887	362.8125	0	0						
AFDES	20160317	Medit F10disgustface Forward-3	0	MALE	test	TestImage	Emotient FACET	440	440			9	440	1	205	197	302	302	-2.867522	0	-2.75112	0	-0.5680969	0	-0.5501972	0	-0.6482733	0	-2.800025	0	-2.368131	0	-2.893492	0	-2.701307	0	2.278834	0	-2.867522	0	-0.5501972	0	-0.1122026	0.4740336	-1.321833	0.1991466	-1.722163	-0.8189175	-5.203483	-0.9345194	-1.26603	-0.7574063	-1.919612	-1.639438	-1.61061	-1.02034	-1.100215	-1.131079	-1.698052	-1.901386	-3.633535	-3.18418	-0.4598384	2.657739	-0.9319724	275.5241	280.4977	0	0	330.5091	285.4988	402.0901	285.9445	0	0	454.0627	277.5683	365.5581	363.4391	0	0						
AFDES	20160317	Medit F10disgustface Forward-3	0	MALE	test	TestImage	Emotient FACET	480	480			10	480	1	205	198	302	302	-2.942693	0	-2.750338	0	-0.6518037	0	-0.612183	0	-0.6381669	0	-2.906546	0	-2.293644	0	-2.787776	0	-2.626734	0	2.279944	0	-2.942693	0	-0.612183	0	-0.1105209	0.456566	-1.323483	0.1495068	-1.721135	-0.8289737	-5.260301	-0.9744623	-1.299011	-0.7780353	-1.87805	-1.600402	-1.587548	-1.050883	-1.074645	-1.115086	-1.718909	-1.90099	-3.638599	-3.210529	-0.4396521	2.430122	-0.9541495	275.1284	280.7271	0	0	330.4133	285.3958	402.1809	285.9611	0	0	453.5413	277.5691	365.1703	363.5462	0	0						
